sample_id,unit,start_year,year,width,missing
,,,,2.452,0
,,,,2.285,0
,,,,2.217,0
,,,,1.863,0
,,,,2.042,0
,,,,1.701,0
,,,,1.628,0
,,,,2.282,0
,,,,1.962,0
,,,,1.792,0
,,,,1.832,0
,,,,2.116,0
,,,,1.787,0
,,,,1.644,0
,,,,1.572,0
,,,,2.085,0
,,,,2.086,0
,,,,2.166,0
,,,,2.04,0
,,,,2.335,0
,,,,1.302,0
,,,,1.322,0
,,,,1.772,0
,,,,1.596,0
,,,,1.934,0
,,,,2.059,0
,,,,1.725,0
,,,,1.999,0
,,,,2.204,0
,,,,1.848,0
,,,,2.104,0
,,,,1.883,0
,,,,1.724,0
,,,,2.006,0
,,,,1.613,0
,,,,1.892,0
,,,,2.094,0
,,,,1.965,0
,,,,2.141,0
,,,,1.726,0
,,,,1.34,0
,,,,1.821,0
,,,,1.523,0
,,,,1.06,0
,,,,1.183,0
,,,,1.347,0
,,,,1.593,0
,,,,1.753,0
,,,,1.866,0
,,,,1.052,0
,,,,1.095,0
,,,,0.916,0
,,,,0.974,0
,,,,0.863,0
,,,,1.2,0
,,,,1.659,0
,,,,1.97,0
,,,,1.799,0
,,,,1.844,0
,,,,1.574,0
,,,,1.943,0
,,,,1.755,0
,,,,1.376,0
,,,,1.351,0
,,,,1.492,0
,,,,1.42,0
,,,,1.585,0
,,,,1.793,0
,,,,2.005,0
,,,,1.544,0
,,,,1.494,0
,,,,1.672,0
,,,,1.793,0
,,,,1.987,0
,,,,1.352,0
,,,,0.394,0
,,,,1.381,0
,,,,1.505,0
,,,,1.437,0
,,,,1.705,0
,,,,1.583,0
,,,,1.922,0
,,,,1.825,0
,,,,1.563,0
,,,,1.168,0
,,,,1.101,0
,,,,1.351,0
,,,,1.463,0
SITE_B01,mm,1920,,1.927,0
,,,,1.896,0
,,,,1.724,0
,,,,1.818,0
,,,,1.717,0
,,,,1.685,0
,,,,1.5,0
,,,,1.803,0
,,,,1.882,0
,,,,1.677,0
,,,,1.704,0
,,,,1.68,0
,,,,1.341,0
,,,,1.347,0
,,,,1.645,0
,,,,1.661,0
,,,,1.488,0
,,,,1.58,0
,,,,1.642,0
,,,,1.323,0
,,,,1.196,0
,,,,1.31,0
,,,,1.621,0
,,,,1.696,0
,,,,1.829,0
,,,,1.596,0
,,,,1.953,0
,,,,1.036,0
,,,,1.12,0
,,,,1.333,0
,,,,1.367,0
,,,,1.478,0
,,,,1.874,0
,,,,1.517,0
,,,,1.902,0
,,,,1.802,0
,,,,1.564,0
,,,,1.755,0
,,,,1.711,0
,,,,1.372,0
,,,,1.635,0
,,,,1.509,0
,,,,1.739,0
,,,,1.846,0
,,,,1.552,0
,,,,1.873,0
,,,,1.599,0
,,,,1.277,0
,,,,1.519,0
,,,,1.365,0
,,,,1.024,0
,,,,1.214,0
,,,,1.213,0
,,,,1.261,0
,,,,1.621,0
,,,,1.597,0
,,,,0.897,0
,,,,1.033,0
,,,,0.911,0
,,,,0.836,0
,,,,0.724,0
,,,,1.13,0
,,,,1.389,0
,,,,1.611,0
,,,,1.503,0
,,,,1.769,0
,,,,1.577,0
,,,,1.575,0
,,,,1.635,0
,,,,1.43,0
,,,,1.332,0
,,,,1.416,0
,,,,1.377,0
,,,,1.442,0
,,,,1.877,0
,,,,1.635,0
,,,,1.494,0
,,,,1.415,0
,,,,1.671,0
,,,,1.554,0
,,,,2.072,0
,,,,1.378,0
,,,,0.379,0
,,,,1.244,0
,,,,1.547,0
,,,,1.486,0
,,,,1.636,0
,,,,1.518,0
,,,,1.97,0
,,,,1.612,0
,,,,1.664,0
,,,,1.14,0
,,,,1.14,0
,,,,1.607,0
,,,,1.525,0
SITE_B02,mm,1931,,1.479,0
,,,,1.114,0
,,,,1.197,0
,,,,1.498,0
,,,,1.488,0
,,,,1.238,0
,,,,1.267,0
,,,,1.416,0
,,,,1.295,0
,,,,1.078,0
,,,,1.247,0
,,,,1.386,0
,,,,1.579,0
,,,,1.573,0
,,,,1.338,0
,,,,1.821,0
,,,,0.804,0
,,,,1.029,0
,,,,1.192,0
,,,,1.103,0
,,,,1.489,0
,,,,1.448,0
,,,,1.265,0
,,,,1.625,0
,,,,1.675,0
,,,,1.309,0
,,,,1.633,0
,,,,1.449,0
,,,,1.299,0
,,,,1.23,0
,,,,1.372,0
,,,,1.381,0
,,,,1.496,0
,,,,1.363,0
,,,,1.593,0
,,,,1.387,0
,,,,0.979,0
,,,,1.299,0
,,,,1.273,0
,,,,0.75,0
,,,,0.896,0
,,,,1.0,0
,,,,1.03,0
,,,,1.412,0
,,,,1.317,0
,,,,0.848,0
,,,,0.91,0
,,,,0.676,0
,,,,0.691,0
,,,,0.63,0
,,,,0.922,0
,,,,1.3,0
,,,,1.444,0
,,,,1.423,0
,,,,1.533,0
,,,,1.206,0
,,,,1.374,0
,,,,1.497,0
,,,,1.19,0
,,,,0.972,0
,,,,1.144,0
,,,,1.151,0
,,,,1.25,0
,,,,1.464,0
,,,,1.402,0
,,,,1.351,0
,,,,1.339,0
,,,,1.528,0
,,,,1.345,0
,,,,1.761,0
,,,,1.23,0
,,,,0.0,1
,,,,1.034,0
,,,,1.3,0
,,,,1.152,0
,,,,1.39,0
,,,,1.28,0
,,,,1.496,0
,,,,1.438,0
,,,,1.287,0
,,,,0.942,0
,,,,0.884,0
,,,,1.348,0
,,,,1.267,0
,,,,1.347,0
SITE_C01,mm,1940,,0.638,0
,,,,0.864,0
,,,,0.878,0
,,,,1.001,0
,,,,1.012,0
,,,,0.96,0
,,,,1.131,0
,,,,0.585,0
,,,,0.675,0
,,,,0.775,0
,,,,0.8,0
,,,,0.968,0
,,,,0.946,0
,,,,0.867,0
,,,,0.973,0
,,,,1.161,0
,,,,0.881,0
,,,,1.043,0
,,,,0.977,0
,,,,0.834,0
,,,,0.95,0
,,,,0.95,0
,,,,0.918,0
,,,,0.993,0
,,,,0.948,0
,,,,1.079,0
,,,,0.932,0
,,,,0.713,0
,,,,0.835,0
,,,,0.876,0
,,,,0.536,0
,,,,0.639,0
,,,,0.638,0
,,,,0.803,0
,,,,0.964,0
,,,,0.909,0
,,,,0.58,0
,,,,0.629,0
,,,,0.513,0
,,,,0.502,0
,,,,0.436,0
,,,,0.706,0
,,,,0.972,0
,,,,1.038,0
,,,,0.89,0
,,,,1.032,0
,,,,0.939,0
,,,,1.025,0
,,,,1.132,0
,,,,0.888,0
,,,,0.688,0
,,,,0.784,0
,,,,0.846,0
,,,,0.981,0
,,,,0.99,0
,,,,0.978,0
,,,,0.948,0
,,,,0.84,0
,,,,1.063,0
,,,,1.186,0
,,,,1.284,0
,,,,0.847,0
,,,,0.234,0
,,,,0.783,0
,,,,0.907,0
,,,,0.939,0
,,,,1.034,0
,,,,0.967,0
,,,,1.166,0
,,,,0.954,0
,,,,0.951,0
,,,,0.78,0
SITE_C02,mm,,1950,0.726,0
,,,1951,0.919,0
,,,1952,1.082,0
,,,1953,0.853,0
,,,1954,1.006,0
,,,1955,1.057,0
,,,1956,0.867,0
,,,1957,1.016,0
,,,1958,0.824,0
,,,1959,0.847,0
,,,1960,0.836,0
,,,1961,0.803,0
,,,1962,0.926,0
,,,1963,0.968,0
,,,1964,0.895,0
,,,1965,1.047,0
,,,1966,0.899,0
,,,1967,0.648,0
,,,1968,0.82,0
,,,1969,0.728,0
,,,1970,0.49,0
,,,1971,0.612,0
,,,1972,0.64,0
,,,1973,0.666,0
,,,1974,0.877,0
,,,1975,0.919,0
,,,1976,0.456,0
,,,1977,0.61,0
,,,1978,0.469,0
,,,1979,0.44,0
,,,1980,0.427,0
,,,1981,0.604,0
,,,1982,0.812,0
,,,1983,0.924,0
,,,1984,0.736,0
,,,1985,0.999,0
,,,1986,0.771,0
,,,1987,0.93,0
,,,1988,0.886,0
,,,1989,0.751,0
,,,1990,0.72,0
,,,1991,0.701,0
,,,1992,0.779,0
,,,1993,0.818,0
,,,1994,0.972,0
,,,1995,0.919,0
,,,1996,0.791,0
,,,1997,0.83,0
,,,1998,0.95,0
,,,1999,0.902,0
,,,2000,1.165,0
,,,2001,0.754,0
,,,2002,0.212,0
,,,2003,0.731,0
,,,2004,0.877,0
,,,2005,0.774,0
,,,2006,0.902,0
,,,2007,0.875,0
,,,2008,1.076,0
,,,2009,0.94,0
UNKNOWN_01,mm,,,1.259,0
,,,,1.676,0
,,,,1.731,0
,,,,1.876,0
,,,,2.277,0
,,,,1.942,0
,,,,2.128,0
,,,,2.431,0
,,,,1.833,0
,,,,2.161,0
,,,,2.003,0
,,,,1.688,0
,,,,1.948,0
,,,,1.813,0
,,,,2.009,0
,,,,2.247,0
,,,,2.003,0
,,,,2.372,0
,,,,2.044,0
,,,,1.379,0
,,,,1.85,0
,,,,1.741,0
,,,,1.151,0
,,,,1.3,0
,,,,1.35,0
,,,,1.636,0
,,,,1.857,0
,,,,1.869,0
,,,,1.181,0
,,,,1.124,0
,,,,0.959,0
,,,,1.004,0
,,,,0.926,0
,,,,1.406,0
,,,,1.868,0
,,,,2.168,0
,,,,1.964,0
,,,,2.07,0
,,,,1.921,0
,,,,2.031,0
,,,,2.168,0
,,,,1.798,0
,,,,1.541,0
,,,,1.569,0
,,,,1.632,0
,,,,1.879,0
,,,,2.003,0
,,,,2.123,0
,,,,1.696,0
,,,,1.776,0
,,,,2.053,0
,,,,1.972,0
,,,,2.483,0
,,,,1.607,0
,,,,0.416,0
,,,,1.496,0
,,,,1.993,0
,,,,1.861,0
,,,,1.925,0
,,,,1.693,0
